CONTRATO;SEMANA_INICIO;DIA_SEMANA_NUM;DIA_SEMANA;DATA;QTD_NOTAS;FATURAMENTO_MIN;FATURAMENTO_MAX
Contrato Carro STC estimado;06/04/2026;0;Segunda;06/04/2026;180;6704.96;8683.32
Contrato Carro STC estimado;13/04/2026;0;Segunda;13/04/2026;223;8428.6;10391.970000000001
Contrato Carro STC estimado;20/04/2026;0;Segunda;20/04/2026;324;12186.5;15277.26
Contrato Carro STC estimado;06/04/2026;1;Terça;07/04/2026;235;8804.86;11183.07
Contrato Carro STC estimado;13/04/2026;1;Terça;14/04/2026;349;13111.88;16500.87
Contrato Carro STC estimado;30/03/2026;2;Quarta;01/04/2026;317;11864.64;15122.91
Contrato Carro STC estimado;06/04/2026;2;Quarta;08/04/2026;308;11551.96;14621.04
Contrato Carro STC estimado;13/04/2026;2;Quarta;15/04/2026;290;10795.56;14010.42
Contrato Carro STC estimado;20/04/2026;2;Quarta;22/04/2026;311;11724.74;14582.67
Contrato Carro STC estimado;30/03/2026;3;Quinta;02/04/2026;343;12777.24;16544.85
Contrato Carro STC estimado;06/04/2026;3;Quinta;09/04/2026;400;14991.72;19020.84
Contrato Carro STC estimado;13/04/2026;3;Quinta;16/04/2026;217;8052.099999999999;10561.53
Contrato Carro STC estimado;20/04/2026;3;Quinta;23/04/2026;258;9624.76;12403.14
Contrato Carro STC estimado;06/04/2026;4;Sexta;10/04/2026;411;15349.82;19706.43
Contrato Carro STC estimado;13/04/2026;4;Sexta;17/04/2026;395;14908.2;18471.45
Contrato Carro STC estimado;20/04/2026;4;Sexta;24/04/2026;319;12011.98;15000.87
Contrato Carro STC estimado;30/03/2026;5;Sábado;04/04/2026;126;4797.94;5764.92
Contrato Carro STC estimado;06/04/2026;5;Sábado;11/04/2026;105;3876.04;5170.83
Contrato Carro STC estimado;13/04/2026;5;Sábado;18/04/2026;113;4247.0;5337.87
Contrato Carro STC estimado;20/04/2026;5;Sábado;25/04/2026;123;4608.78;5852.43
